Loading dataset...
{'eval_loss': 0.4675810635089874, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.2287, 'eval_samples_per_second': 61.225, 'eval_steps_per_second': 8.746, 'epoch': 42.0}
{'eval_loss': 0.46642813086509705, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.121, 'eval_samples_per_second': 115.678, 'eval_steps_per_second': 16.525, 'epoch': 43.0}
{'eval_loss': 0.46523693203926086, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.1885, 'eval_samples_per_second': 74.258, 'eval_steps_per_second': 10.608, 'epoch': 44.0}
{'eval_loss': 0.4644683003425598, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0919, 'eval_samples_per_second': 152.371, 'eval_steps_per_second': 21.767, 'epoch': 45.0}
{'eval_loss': 0.46369120478630066, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0867, 'eval_samples_per_second': 161.55, 'eval_steps_per_second': 23.079, 'epoch': 46.0}
{'eval_loss': 0.4631922245025635, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.1127, 'eval_samples_per_second': 124.234, 'eval_steps_per_second': 17.748, 'epoch': 47.0}
{'eval_loss': 0.46279147267341614, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.1063, 'eval_samples_per_second': 131.733, 'eval_steps_per_second': 18.819, 'epoch': 48.0}
{'eval_loss': 0.4625255763530731, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.1166, 'eval_samples_per_second': 120.111, 'eval_steps_per_second': 17.159, 'epoch': 49.0}
{'eval_loss': 0.46247145533561707, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.1837, 'eval_samples_per_second': 76.223, 'eval_steps_per_second': 10.889, 'epoch': 50.0}
{'train_runtime': 150.6459, 'train_samples_per_second': 37.173, 'train_steps_per_second': 4.647, 'train_loss': 0.5473859187534877, 'epoch': 50.0}
{'accuracy': 0.7142857142857143}
